batsman,nonstrike,bowler,runs,wickets,home,ave_score,sr,bowl_ave,bowl_sr,econ,innings,wickets
1,2,2,11,0,1,36.44,143.74,25.9,20.5,7.55,0,0
1,2,2,5,0,1,36.44,143.74,25.68,20.3,7.55,0,0
1,2,4,9,0,1,36.44,143.74,23.68,19.5,7.26,0,0
2,1,2,7,0,1,28.77,134.56,25.68,20.3,7.55,0,0
2,1,4,5,0,1,28.77,134.56,23.68,19.5,7.26,0,0
2,1,4,1,1,1,28.37,119.25,26.93,19.7,8.19,0,1
2,1,2,7,0,1,28.37,119.25,25.9,20.5,7.55,0,0
1,2,4,6,0,1,36.44,143.74,29.12,25.7,6.77,0,0
2,1,4,17,0,1,28.37,119.25,26.93,19.7,8.19,0,0
2,1,4,3,1,1,25.88,129.01,29.12,25.7,6.77,0,1
1,2,2,12,0,1,36.44,143.74,25.9,20.5,7.55,0,0
1,2,4,5,1,1,36.44,143.74,23.68,19.5,7.26,0,1
2,0,4,2,0,1,25.88,129.01,29.12,25.7,6.77,0,0
1,0,2,4,1,1,28.45,144.09,25.9,20.5,7.55,0,1
0,1,4,9,0,1,25.63,120.48,29.12,25.7,6.77,0,0
1,0,2,14,0,1,28.45,144.09,25.68,20.3,7.55,0,0
1,0,4,9,0,1,28.45,144.09,26.93,19.7,8.19,0,0
1,0,2,10,0,1,28.45,144.09,25.68,20.3,7.55,0,0
0,1,4,23,0,1,25.63,120.48,26.93,19.7,8.19,0,0
0,0,4,8,1,1,22.64,130.06,23.68,19.5,7.26,0,1
2,1,2,6,0,0,29.29,132.02,24.94,19.3,7.74,1,0
2,1,4,5,0,0,29.29,132.02,23.48,19.8,7.09,1,0
2,0,2,11,1,0,29.29,132.02,24.94,19.3,7.74,1,1
0,2,4,4,0,0,21.57,117.35,26.06,20.4,7.66,1,0
2,0,3,2,1,0,26.89,147.83,23.78,20.4,6.98,1,1
2,0,4,7,0,0,26.89,147.83,23.48,19.8,7.09,1,0
2,0,4,8,0,0,26.89,147.83,24.2,19.5,7.44,1,0
0,0,3,2,2,0,22.8,124.65,23.78,20.4,6.98,1,2
0,0,4,5,0,0,22.8,124.65,31.73,25.7,7.38,1,0
0,0,4,3,1,0,17.03,108.95,26.06,20.4,7.66,1,1
0,0,3,7,0,0,22.8,124.65,23.78,20.4,6.98,1,0
0,0,4,10,0,0,17.03,108.95,23.48,19.8,7.09,1,0
0,0,4,9,0,0,22.8,124.65,24.2,19.5,7.44,1,0
0,0,4,7,0,0,22.8,124.65,26.06,20.4,7.66,1,0
0,0,3,3,0,0,22.8,124.65,23.78,20.4,6.98,1,0
0,0,2,11,0,0,22.8,124.65,24.94,19.3,7.74,1,0
0,0,4,3,2,0,9.0,113.11,31.73,25.7,7.38,1,2
0,0,4,3,0,0,8.12,108.33,23.48,19.8,7.09,1,0
3,0,4,6,1,0,8.71,88.72,31.73,25.7,7.38,1,1
0,3,4,6,1,0,8.12,108.33,26.06,20.4,7.66,1,1
2,2,4,1,0,1,26.89,147.83,22.63,17.4,7.76,0,0
2,2,3,10,0,1,25.43,121.55,20.9,16.6,7.54,0,0
2,2,4,4,0,1,26.89,147.83,22.63,17.4,7.76,0,0
