key,0s,1s,2s,3s,4s,6s,outs,balls
"PP Ojha, R Bhatia",1.0,1.0,1.0,1.0,1.0,1.0,0.5,2
"M Kaif, R McLaren",0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,3
"Y Venugopal Rao, Iqbal Abdulla",0.2857142857142857,1.0,1.0,1.0,1.0,1.0,0.0,7
"STR Binny, CH Morris",0.3333333333333333,0.6666666666666666,0.75,0.75,1.0,1.0,0.0,12
"Gurkeerat Singh, A Nehra",0.375,0.625,0.75,0.75,1.0,1.0,0.0,8
"SA Asnodkar, A Symonds",0.42857142857142855,0.6428571428571428,0.7857142857142856,0.7857142857142856,0.9285714285714284,0.9999999999999998,0.0,14
"Harbhajan Singh, AB Agarkar",0.16666666666666666,0.5,0.5,0.5,0.8333333333333333,0.9999999999999999,0.0,6
"JC Buttler, YS Chahal",0.4,0.8,0.8,0.8,0.8,1.0,0.0,5
"LJ Wright, S Nadeem",0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,0.0,7
"LA Carseldine, IK Pathan",0.0,0.5714285714285714,0.7142857142857142,0.7142857142857142,0.9999999999999999,0.9999999999999999,0.0,7
"CJ Anderson, A Nehra",0.875,0.875,0.875,0.875,1.0,1.0,0.125,8
"LA Carseldine, JH Kallis",0.5,0.5,0.5,0.5,1.0,1.0,0.0,2
"SK Raina, JP Faulkner",0.3333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.9999999999999999,0.9999999999999999,0.16666666666666666,6
"GJ Bailey, AD Russell",0.3333333333333333,0.75,0.8333333333333334,0.8333333333333334,1.0,1.0,0.0,12
"DR Smith, JA Morkel",0.4444444444444444,0.5277777777777778,0.6944444444444444,0.6944444444444444,0.9444444444444444,1.0,0.027777777777777776,36
"AT Rayudu, R Bhatia",0.23529411764705882,0.8235294117647058,0.8823529411764706,0.8823529411764706,1.0,1.0,0.058823529411764705,17
"SA Yadav, SR Watson",0.3,0.8,0.8,0.8,0.9,1.0,0.0,10
"MP Stoinis, Iqbal Abdulla",0.5,1.0,1.0,1.0,1.0,1.0,0.0,2
"SR Watson, R Sharma",0.4,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.9000000000000001,1.0000000000000002,0.0,10
"JH Kallis, BAW Mendis",0.4444444444444444,0.7777777777777777,0.8888888888888888,0.8888888888888888,1.0,1.0,0.0,9
"JP Duminy, KH Pandya",0.0,1.0,1.0,1.0,1.0,1.0,0.0,8
"Q de Kock, JP Faulkner",0.5,1.0,1.0,1.0,1.0,1.0,0.0,6
"Niraj Patel, SS Sarkar",0.0,1.0,1.0,1.0,1.0,1.0,0.0,3
"Azhar Mahmood, SK Trivedi",0.3333333333333333,0.7333333333333334,0.8,0.8,0.9333333333333333,1.0,0.0,15
"AP Tare, JA Morkel",0.75,0.8125,0.875,0.875,1.0,1.0,0.125,16
"SE Marsh, VS Malik",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.16666666666666666,6
"B Akhil, UT Yadav",0.2,0.4,0.8,0.8,0.8,1.0,0.0,5
"MK Pandey, NM Coulter-Nile",0.5,0.8,0.8,0.8,1.0,1.0,0.0,10
"YV Takawale, SR Watson",0.1,0.4,0.4,0.4,0.9,1.0,0.0,10
"DPMD Jayawardene, DR Smith",0.16666666666666666,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.9999999999999999,0.0,6
"SPD Smith, DP Nannes",0.0,0.25,0.5,0.5,0.75,1.0,0.0,4
"M Vijay, RA Jadeja",0.3157894736842105,0.8947368421052632,0.9473684210526316,0.9473684210526316,1.0,1.0,0.10526315789473684,19
"S Badree, VR Aaron",0.5,1.0,1.0,1.0,1.0,1.0,0.0,2
"RG Sharma, JP Faulkner",0.47058823529411764,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.823529411764706,1.0,0.11764705882352941,17
"AC Gilchrist, BW Hilfenhaus",0.7,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.9999999999999999,0.9999999999999999,0.0,10
"AD Mathews, I Sharma",0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,3
"SP Fleming, DP Vijaykumar",0.6,0.6666666666666666,0.7999999999999999,0.7999999999999999,1.0,1.0,0.06666666666666667,15
"MS Gony, PP Chawla",0.6666666666666666,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.9999999999999999,0.16666666666666666,6
"J Botha, Shakib Al Hasan",0.5,1.0,1.0,1.0,1.0,1.0,0.0,2
"GC Smith, Y Venugopal Rao",0.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,3
"KA Pollard, Imran Tahir",0.3684210526315789,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.8421052631578947,1.0,0.05263157894736842,19
"R Bhatia, JP Duminy",0.75,1.0,1.0,1.0,1.0,1.0,0.0,4
"CA Pujara, JR Hopes",0.25,1.0,1.0,1.0,1.0,1.0,0.0,4
"Q de Kock, UT Yadav",0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,1.0,0.1111111111111111,9
"KK Nair, DJ Hooda",0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,0.0,9
"JDP Oram, RR Powar",0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,3
"MJ Clarke, J Botha",0.5,1.0,1.0,1.0,1.0,1.0,0.0,2
"SV Samson, K Santokie",1.0,1.0,1.0,1.0,1.0,1.0,0.5,2
"SM Katich, S Tyagi",0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
"P Kumar, BCJ Cutting",0.0,1.0,1.0,1.0,1.0,1.0,0.0,2
"SR Tendulkar, AJ Finch",0.625,0.75,0.875,0.875,1.0,1.0,0.0625,16
"Gurkeerat Singh, B Kumar",0.5,0.5,0.5,0.5,1.0,1.0,0.5,2
"DA Warner, CJ Jordan",0.5,0.75,0.75,0.75,1.0,1.0,0.0,8
"CL White, BA Bhatt",0.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,3
"HH Gibbs, UT Yadav",0.5,1.0,1.0,1.0,1.0,1.0,0.0,4
"SB Wagh, KA Pollard",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
"KP Pietersen, RG Sharma",0.375,0.5,0.625,0.625,0.875,1.0,0.0,8
"KA Pollard, MG Johnson",0.35294117647058826,0.6470588235294118,0.823529411764706,0.823529411764706,0.9411764705882354,1.0,0.0,17
"CJ Anderson, Harbhajan Singh",0.0,0.5,0.5,0.5,1.0,1.0,0.0,2
"RV Uthappa, JH Kallis",0.3125,0.8125,0.8125,0.8125,1.0,1.0,0.0,16
"RG Sharma, Basil Thampi",0.16666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,6
"Yuvraj Singh, P Negi",0.25,0.75,0.75,0.75,1.0,1.0,0.25,4
"KC Sangakkara, PP Chawla",0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,3
"KV Sharma, R Vinay Kumar",0.25,0.5,0.75,0.75,1.0,1.0,0.0,4
