player_id,player_name,matches,bat_inns,not_outs,runs_scored,highest_score,ave_score,balls_faced,sr,hundreds,fifties,fours,sixes,bowl_inns,balls,runs_conceded,wkts,bowl_ave,econ,bowl_sr
30102,Zaheer Khan,138,49,27,191,26,8.68,221,86.42,0,0,17,3,137,3044,3802,139,27.35,7.49,21.8
398438,Mayank Agarwal,111,106,6,2340,111,23.4,1789,130.79,1,15,236,82,1,6,8,0,0,8,0
942645,Khaleel Ahmed,12,3,3,4,0,0,6,66.66,0,0,0,0,12,276,334,17,19.64,7.26,16.2
297628,Sam Billings,156,146,20,2925,0,23.21,2247,130.17,0,16,248,87,0,0,0,0,0,0,0
457249,Carlos Brathwaite,128,93,22,1281,0,18.04,855,149.82,0,1,75,92,124,2354,3087,119,25.94,7.86,19.7
261354,Nathan Coulter-Nile,90,51,21,417,0,13.9,332,125.6,0,0,27,26,88,1924,2490,110,22.63,7.76,17.4
379143,Quinton de Kock,141,135,10,3960,0,31.68,2957,133.91,3,20,435,141,0,0,0,0,0,0,0
44932,Jean-Paul Duminy,246,230,71,6000,0,37.73,4926,121.8,0,41,437,201,133,1736,2207,73,30.23,7.62,23.7
532851,Akhil Herwadkar,14,14,0,282,68,20.14,233,121.03,0,1,32,6,0,0,0,0,0,0,0
40618,Imran Tahir,224,40,21,186,23,9.78,169,110.05,0,0,15,7,213,4785,5649,272,20.76,7.08,17.5
642519,Shreyas Iyer,75,74,9,1868,96,28.73,1452,128.65,0,14,170,74,0,0,0,0,0,0,0
853265,Mahipal Lomror,20,20,3,412,74,24.23,342,120.46,0,2,35,11,15,169,243,4,60.75,8.62,42.2
604616,Chama Milind,27,16,7,104,26,11.55,93,111.82,0,0,7,2,27,589,736,48,15.33,7.49,12.2
31107,Amit Mishra,199,89,37,721,49,13.86,740,97.43,0,0,68,7,198,4168,4970,228,21.79,7.15,18.2
481896,Mohammed Shami,65,20,9,65,21,5.9,65,100,0,0,6,2,65,1310,1809,68,26.6,8.28,19.2
439952,Chris Morris,149,92,43,1247,0,25.44,806,154.71,0,2,0,0,147,3168,4038,182,22.18,7.64,17.4
31872,Shahbaz Nadeem,109,42,14,244,0,8.71,275,88.72,0,0,16,6,107,2296,2592,89,29.12,6.77,25.7
398439,Karun Nair,103,95,8,2170,111,24.94,1656,131.03,2,12,221,69,6,48,55,2,27.5,6.87,24
530773,Pawan Negi,94,71,27,737,0,16.75,592,124.49,0,0,53,31,83,1490,1815,79,22.97,7.3,18.8
931581,Rishabh Pant,55,55,6,1792,0,36.57,1084,165.31,2,12,169,97,0,0,0,0,0,0,0
717205,Pratyush Singh,10,9,1,90,39,11.25,84,107.14,0,0,13,0,7,60,78,4,19.5,7.8,15
425943,Sanju Samson,130,124,12,3011,102,26.88,2421,124.37,1,20,234,121,1,3,4,1,4,8,3
431213,Pawan Suyal,17,2,1,0,0,0,5,0,0,0,0,0,17,353,467,12,38.91,7.93,29.4
447587,Jayant Yadav,40,27,12,252,31,16.8,222,113.51,0,0,14,9,36,700,695,20,34.75,5.95,35
501012,Joel Paris,19,5,2,22,13,7.33,28,78.57,0,0,1,0,18,385,541,17,31.82,8.43,22.6
33335,Suresh Raina,296,280,44,7929,0,33.59,5694,139.25,4,47,709,299,116,1509,1827,53,34.47,7.26,28.4
317292,Sarabjit Ladda,13,3,1,5,5,2.5,12,41.66,0,0,1,0,13,234,328,10,32.8,8.41,23.4
500360,Akshdeep Nath,51,46,13,774,80,23.45,631,122.66,0,3,62,23,15,177,241,12,20.08,8.16,14.7
604550,Amit Mishra,24,9,4,42,0,8.4,40,105,0,0,3,2,24,515,651,34,19.14,7.58,15.1
51439,Dwayne Bravo,410,336,94,5984,0,24.72,4705,127.18,0,20,391,285,393,7930,10965,447,24.53,8.29,17.7
28160,Paras Dogra,68,66,12,1374,0,25.44,1246,110.27,0,6,96,45,0,0,0,0,0,0,0
340841,Eklavya Dwivedi,47,39,12,923,89,34.18,743,124.22,0,4,95,27,0,0,0,0,0,0,0
270484,James Faulkner,174,130,55,1651,73,22.01,1347,122.56,0,1,80,60,173,3501,4626,196,23.6,7.92,17.8
5334,Aaron Finch,239,234,27,7545,172,36.44,5249,143.74,6,52,738,313,25,221,340,7,48.57,9.23,31.5
720471,Ishan Kishan,55,52,0,1194,67,22.96,924,129.22,0,6,119,53,0,0,0,0,0,0,0
234675,Ravindra Jadeja,212,150,51,2147,48,21.68,1746,122.96,0,0,151,73,184,3272,4243,135,31.42,7.78,24.2
29655,Shadab Jakati,91,28,10,185,43,10.27,179,103.35,0,0,18,3,89,1781,2280,73,31.23,7.68,24.3
