player_name,ave_score,sr,balls_faced,hundreds/innings,fifties/innings,fours_rate,six_rate,vulnerability
Zaheer Khan,8.68,86.42,221,0.0,0.0,0.07692307692307693,0.013574660633484163,0.09954751131221719
Mayank Agarwal,23.4,130.79,1789,0.009433962264150943,0.14150943396226415,0.13191727221911684,0.045835662381218556,0.05589714924538849
Khaleel Ahmed,0.0,66.66,6,0.0,0.0,0.0,0.0,0.0
Sam Billings,23.21,130.17,2247,0.0,0.1095890410958904,0.11036938139741878,0.03871829105473965,0.056074766355140186
Carlos Brathwaite,18.04,149.82,855,0.0,0.010752688172043012,0.08771929824561403,0.10760233918128655,0.08304093567251462
Nathan Coulter-Nile,13.9,125.6,332,0.0,0.0,0.08132530120481928,0.0783132530120482,0.09036144578313253
Quinton de Kock,31.68,133.91,2957,0.022222222222222223,0.14814814814814814,0.1471085559688874,0.047683462969225564,0.042272573554277985
Jean-Paul Duminy,37.73,121.8,4926,0.0,0.1782608695652174,0.08871295168493706,0.04080389768574909,0.03227771010962241
Akhil Herwadkar,20.14,121.03,233,0.0,0.07142857142857142,0.13733905579399142,0.02575107296137339,0.060085836909871244
Imran Tahir,9.78,110.05,169,0.0,0.0,0.08875739644970414,0.04142011834319527,0.11242603550295859
Shreyas Iyer,28.73,128.65,1452,0.0,0.1891891891891892,0.11707988980716254,0.05096418732782369,0.044765840220385676
Mahipal Lomror,24.23,120.46,342,0.0,0.1,0.1023391812865497,0.03216374269005848,0.049707602339181284
Chama Milind,11.55,111.82,93,0.0,0.0,0.07526881720430108,0.021505376344086023,0.0967741935483871
Amit Mishra,13.86,97.43,740,0.0,0.0,0.0918918918918919,0.00945945945945946,0.07027027027027027
Mohammed Shami,5.9,100.0,65,0.0,0.0,0.09230769230769231,0.03076923076923077,0.16923076923076924
Chris Morris,25.44,154.71,806,0.0,0.021739130434782608,0.0,0.0,0.060794044665012405
Shahbaz Nadeem,8.71,88.72,275,0.0,0.0,0.05818181818181818,0.02181818181818182,0.10181818181818182
Karun Nair,24.94,131.03,1656,0.021052631578947368,0.12631578947368421,0.13345410628019325,0.041666666666666664,0.05253623188405797
Pawan Negi,16.75,124.49,592,0.0,0.0,0.08952702702702703,0.052364864864864864,0.07432432432432433
Rishabh Pant,36.57,165.31,1084,0.03636363636363636,0.21818181818181817,0.1559040590405904,0.08948339483394833,0.045202952029520294
Pratyush Singh,11.25,107.14,84,0.0,0.0,0.15476190476190477,0.0,0.09523809523809523
Sanju Samson,26.88,124.37,2421,0.008064516129032258,0.16129032258064516,0.09665427509293681,0.049979347377116894,0.04626187525815779
Pawan Suyal,0.0,0.0,5,0.0,0.0,0.0,0.0,0.2
Jayant Yadav,16.8,113.51,222,0.0,0.0,0.06306306306306306,0.04054054054054054,0.06756756756756757
Joel Paris,7.33,78.57,28,0.0,0.0,0.03571428571428571,0.0,0.10714285714285714
Suresh Raina,33.59,139.25,5694,0.014285714285714285,0.16785714285714284,0.12451703547593959,0.05251141552511415,0.0414471373375483
Sarabjit Ladda,2.5,41.66,12,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666
Akshdeep Nath,23.45,122.66,631,0.0,0.06521739130434782,0.098256735340729,0.03645007923930269,0.05229793977812995
Amit Mishra,8.4,105.0,40,0.0,0.0,0.075,0.05,0.125
Dwayne Bravo,24.72,127.18,4705,0.0,0.05952380952380952,0.08310308182784272,0.06057385759829968,0.0514346439957492
Paras Dogra,25.44,110.27,1246,0.0,0.09090909090909091,0.07704654895666131,0.036115569823434994,0.04333868378812199
Eklavya Dwivedi,34.18,124.22,743,0.0,0.10256410256410256,0.1278600269179004,0.03633916554508748,0.03633916554508748
James Faulkner,22.01,122.56,1347,0.0,0.007692307692307693,0.05939123979213066,0.044543429844097995,0.0556792873051225
Aaron Finch,36.44,143.74,5249,0.02564102564102564,0.2222222222222222,0.14059820918270147,0.05963040579157935,0.03943608306344065
Ishan Kishan,22.96,129.22,924,0.0,0.11538461538461539,0.12878787878787878,0.05735930735930736,0.05627705627705628
Ravindra Jadeja,21.68,122.96,1746,0.0,0.0,0.08648339060710195,0.0418098510882016,0.05670103092783505
Shadab Jakati,10.27,103.35,179,0.0,0.0,0.1005586592178771,0.01675977653631285,0.1005586592178771
