player_name,bowl_ave,econ,bowl_sr,balls
Zaheer Khan,27.35,7.49,21.8,3044
Mayank Agarwal,0.0,8.0,0.0,6
Khaleel Ahmed,19.64,7.26,16.2,276
Sam Billings,0.0,0.0,0.0,0
Carlos Brathwaite,25.94,7.86,19.7,2354
Nathan Coulter-Nile,22.63,7.76,17.4,1924
Quinton de Kock,0.0,0.0,0.0,0
Jean-Paul Duminy,30.23,7.62,23.7,1736
Akhil Herwadkar,0.0,0.0,0.0,0
Imran Tahir,20.76,7.08,17.5,4785
Shreyas Iyer,0.0,0.0,0.0,0
Mahipal Lomror,60.75,8.62,42.2,169
Chama Milind,15.33,7.49,12.2,589
Amit Mishra,21.79,7.15,18.2,4168
Mohammed Shami,26.6,8.28,19.2,1310
Chris Morris,22.18,7.64,17.4,3168
Shahbaz Nadeem,29.12,6.77,25.7,2296
Karun Nair,27.5,6.87,24.0,48
Pawan Negi,22.97,7.3,18.8,1490
Rishabh Pant,0.0,0.0,0.0,0
Pratyush Singh,19.5,7.8,15.0,60
Sanju Samson,4.0,8.0,3.0,3
Pawan Suyal,38.91,7.93,29.4,353
Jayant Yadav,34.75,5.95,35.0,700
Joel Paris,31.82,8.43,22.6,385
Suresh Raina,34.47,7.26,28.4,1509
Sarabjit Ladda,32.8,8.41,23.4,234
Akshdeep Nath,20.08,8.16,14.7,177
Amit Mishra,19.14,7.58,15.1,515
Dwayne Bravo,24.53,8.29,17.7,7930
Paras Dogra,0.0,0.0,0.0,0
Eklavya Dwivedi,0.0,0.0,0.0,0
James Faulkner,23.6,7.92,17.8,3501
Aaron Finch,48.57,9.23,31.5,221
Ishan Kishan,0.0,0.0,0.0,0
Ravindra Jadeja,31.42,7.78,24.2,3272
Shadab Jakati,31.23,7.68,24.3,1781
Dinesh Karthik,10.0,5.0,12.0,12
Shivil Kaushik,49.5,8.73,34.0,204
Dhawal Kulkarni,25.0,7.83,19.1,2354
Praveen Kumar,32.16,7.46,25.8,3695
Brendon McCullum,0.0,13.0,0.0,6
Pradeep Sangwan,27.72,7.64,21.7,1828
Jaydev Shah,15.14,8.48,10.7,75
Umang Sharma,0.0,9.0,0.0,24
Dwayne Smith,28.18,8.12,20.8,2184
Dale Steyn,21.91,6.67,19.6,4175
Pravin Tambe,22.82,7.04,19.4,1302
Andrew Tye,19.81,7.78,15.2,2366
Murali Vijay,0.0,7.0,0.0,60
Kyle Abbott,29.57,8.19,21.6,2468
Hashim Amla,0.0,15.0,0.0,2
Anureet Singh,30.15,8.26,21.9,1117
Armaan Jaffer,0.0,0.0,0.0,0
Farhaan Behardien,35.2,9.18,23.0,115
KC Cariappa,33.53,8.24,24.4,366
Rishi Dhawan,32.94,7.48,26.4,1426
Gurkeerat Singh Mann,29.33,7.33,24.0,144
Mitchell Johnson,25.78,7.63,20.2,2494
David Miller,0.0,10.33,0.0,18
Nikhil Naik,0.0,0.0,0.0,0
Axar Patel,27.56,7.13,23.1,2134
Wriddhiman Saha,0.0,0.0,0.0,0
Pardeep Sahu,41.25,7.67,32.2,129
Sandeep Sharma,23.57,7.55,18.7,2042
Mohit Sharma,28.0,8.35,20.1,2192
Swapnil Singh,23.6,7.37,19.2,672
Shardul Thakur,26.31,8.45,18.6,1120
Manan Vohra,0.0,0.0,0.0,0
Shaun Marsh,0.0,6.5,0.0,12
Glenn Maxwell,31.31,7.89,23.7,1761
Marcus Stoinis,29.55,8.66,20.4,880
Gautam Gambhir,0.0,0.0,0.0,0
Piyush Chawla,24.67,7.52,19.6,4290
Brad Hogg,24.75,6.91,21.4,3005
Jason Holder,34.93,7.76,27.0,1647
Sheldon Jackson,0.0,0.0,0.0,0
Kuldeep Yadav,20.22,7.47,16.2,1575
Chris Lynn,31.0,7.15,26.0,78
Manan Sharma,15.46,6.07,15.2,489
Morne Morkel,25.68,7.55,20.3,3874
Colin Munro,34.2,9.45,21.7,434
Sunil Narine,19.83,5.95,20.0,6840
Manish Pandey,21.2,7.57,16.8,168
Yusuf Pathan,28.78,7.68,22.4,2157
Ankit Rajpoot,19.86,7.51,15.8,1078
Andre Russell,25.44,8.19,18.6,4548
Rajagopal Sathish,26.37,7.02,22.5,541
Shakib Al Hasan,21.08,6.82,18.5,5799
Shaun Tait,22.43,7.98,16.8,3674
Jaydev Unadkat,22.79,7.86,17.3,2331
Robin Uthappa,0.0,11.0,0.0,6
Suryakumar Yadav,23.33,6.36,22.0,132
Umesh Yadav,26.93,8.19,19.7,2683
John Hastings,24.7,7.95,18.6,2163
Rohit Sharma,28.17,7.8,21.6,628
Corey Anderson,36.96,9.06,24.4,783
Jasprit Bumrah,22.79,7.2,18.9,2792
Jos Buttler,0.0,0.0,0.0,0
Unmukt Chand,0.0,0.0,0.0,0
Marchant de Lange,25.11,8.53,17.6,1519
Shreyas Gopal,21.38,7.7,16.6,433
Martin Guptill,0.0,9.5,0.0,12
Harbhajan Singh,26.22,6.72,23.3,5123
Kishore Kamath,0.0,0.0,0.0,0
Siddhesh Lad,27.0,7.56,21.4,150
Mitchell McClenaghan,25.1,8.42,17.8,3557
Hardik Pandya,26.55,7.93,20.0,1747
Krunal Pandya,24.43,6.96,21.0,1074
Parthiv Patel,0.0,0.0,0.0,0
