key,0s,1s,2s,3s,4s,6s,outs,balls
"3, 4",2,0,0,0,0,0,1,2
"0, 2",1,1,1,0,0,0,0,3
"0, 4",2,5,0,0,0,0,0,7
"0, 2",4,4,1,0,3,0,0,12
"3, 4",3,2,1,0,2,0,0,8
"2, 3",6,3,2,0,2,1,0,14
"0, 3",1,2,0,0,2,1,0,6
"2, 4",2,2,0,0,0,1,0,5
"1, 4",3,3,0,0,1,0,0,7
"2, 2",0,4,1,0,2,0,0,7
"0, 4",7,0,0,0,1,0,1,8
"2, 4",1,0,0,0,1,0,0,2
"2, 2",2,3,0,0,1,0,1,6
"2, 2",4,5,1,0,2,0,0,12
"2, 2",16,3,6,0,9,2,1,36
"2, 4",4,10,1,0,2,0,1,17
"0, 2",3,5,0,0,1,1,0,10
"0, 4",1,1,0,0,0,0,0,2
"1, 3",4,2,1,0,2,1,0,10
"2, 4",4,3,1,0,1,0,0,9
"2, 3",0,8,0,0,0,0,0,8
"1, 2",3,3,0,0,0,0,0,6
"2, SS Sarkar",0,3,0,0,0,0,0,3
"2, 3",5,6,1,0,2,1,0,15
"0, 2",12,1,1,0,2,0,2,16
"2, 3",4,0,0,0,2,0,1,6
"0, 4",1,1,2,0,0,1,0,5
"2, 4",5,3,0,0,2,0,0,10
"0, 2",1,3,0,0,5,1,0,10
"2, 4",1,4,0,0,0,1,0,6
"2, 2",0,1,1,0,1,1,0,4
"2, 2",6,11,1,0,1,0,2,19
"3, 4",1,1,0,0,0,0,0,2
"2, 2",8,3,0,0,3,3,2,17
"1, 4",7,2,0,0,1,0,0,10
"0, 4",1,2,0,0,0,0,0,3
"0, 3",9,1,2,0,3,0,1,15
"0, 2",4,1,0,0,0,1,1,6
"3, 2",1,1,0,0,0,0,0,2
"2, 3",0,2,1,0,0,0,0,3
"2, 2",7,8,0,0,1,3,1,19
"0, 4",3,1,0,0,0,0,0,4
"0, 4",1,3,0,0,0,0,0,4
"1, 4",7,0,0,0,1,1,1,9
"1, 3",0,8,0,0,1,0,0,9
"0, 3",2,1,0,0,0,0,0,3
"0, 2",1,1,0,0,0,0,0,2
"2, 4",2,0,0,0,0,0,1,2
"2, 3",0,1,0,0,0,0,0,1
"0, 4",0,2,0,0,0,0,0,2
"2, 3",10,2,2,0,2,0,1,16
"3, 4",1,0,0,0,1,0,1,2
"1, 4",4,2,0,0,2,0,0,8
"2, 3",0,2,1,0,0,0,0,3
"2, 4",2,2,0,0,0,0,0,4
"3, 2",1,0,0,0,0,0,0,1
"2, 3",3,1,1,0,2,1,0,8
"2, 4",6,5,3,0,2,1,0,17
"0, 2",0,1,0,0,1,0,0,2
"2, 4",5,8,0,0,3,0,0,16
"2, Basil Thampi",1,5,0,0,0,0,0,6
"2, 4",1,2,0,0,1,0,1,4
"2, 2",2,1,0,0,0,0,1,3
"0, 2",1,1,1,0,1,0,0,4
"2, 4",8,4,0,0,0,0,0,12
"2, 4",0,1,0,0,0,0,0,1
"0, 2",1,2,0,0,0,0,0,3
"2, AN Ahmed",1,2,0,0,0,0,0,3
"0, 4",0,1,1,0,1,0,0,3
"2, 3",1,0,0,0,0,0,1,1
"2, 2",0,2,1,0,0,0,0,3
"0, 2",3,6,0,0,2,0,1,11
"0, 4",2,3,0,0,0,0,0,5
"2, 3",0,4,1,0,1,1,0,7
"0, 4",2,1,0,0,0,0,0,3
"0, 2",1,1,0,0,0,0,0,2
"0, 3",1,0,0,0,1,2,1,4
"2, 3",0,2,0,0,1,1,0,4
"0, 2",5,1,1,0,1,0,2,8
"1, 3",2,2,0,0,1,1,0,6
"2, 4",5,6,2,0,3,2,1,18
"2, 3",1,4,1,0,1,0,0,7
"0, 4",6,7,1,0,2,0,1,16
"2, 3",3,0,0,0,0,0,1,3
"2, 3",3,2,0,0,0,0,0,5
"2, 3",0,2,0,0,0,0,0,2
"1, 3",4,2,0,0,3,0,1,9
"2, 2",3,2,1,0,0,0,0,6
"2, 4",15,13,0,0,1,2,1,31
"0, 3",0,2,0,0,1,1,0,4
"2, 4",13,6,2,0,4,0,2,25
"2, 2",5,2,3,0,1,0,0,11
"2, 3",5,3,0,0,4,1,0,13
"2, 4",2,1,0,0,1,0,1,4
